PERÍODO;UNIDADES;TOTAL;ID LOJA;;;;;;
01/07/2022;AMAZONAS SHOPPING;0;106;;;;;;
02/07/2022;AMAZONAS SHOPPING;0;106;;;;;;
03/07/2022;AMAZONAS SHOPPING;0;106;;;;;;
04/07/2022;AMAZONAS SHOPPING;20337;106;;;;;;
05/07/2022;AMAZONAS SHOPPING;22134;106;;;;;;
06/07/2022;AMAZONAS SHOPPING;23380;106;;;;;;
07/07/2022;AMAZONAS SHOPPING;23921;106;;;;;;
08/07/2022;AMAZONAS SHOPPING;23178;106;;;;;;
09/07/2022;AMAZONAS SHOPPING;27726;106;;;;;;
10/07/2022;AMAZONAS SHOPPING;18837;106;;;;;;
11/07/2022;AMAZONAS SHOPPING;20934;106;;;;;;
12/07/2022;AMAZONAS SHOPPING;18217;106;;;;;;
13/07/2022;AMAZONAS SHOPPING;17056;106;;;;;;
14/07/2022;AMAZONAS SHOPPING;18233;106;;;;;;
15/07/2022;AMAZONAS SHOPPING;21196;106;;;;;;
01/07/2022;AVENIDA;21618;103;;;;;;
02/07/2022;AVENIDA;21821;103;;;;;;
03/07/2022;AVENIDA;3957;103;;;;;;
04/07/2022;AVENIDA;19256;103;;;;;;
05/07/2022;AVENIDA;3401;103;;;;;;
06/07/2022;AVENIDA;0;103;;;;;;
07/07/2022;AVENIDA;17620;103;;;;;;
08/07/2022;AVENIDA;17811;103;;;;;;
09/07/2022;AVENIDA;20974;103;;;;;;
10/07/2022;AVENIDA;7252;103;;;;;;
11/07/2022;AVENIDA;16861;103;;;;;;
12/07/2022;AVENIDA;17487;103;;;;;;
13/07/2022;AVENIDA;14276;103;;;;;;
14/07/2022;AVENIDA;13762;103;;;;;;
15/07/2022;AVENIDA;15612;103;;;;;;
01/07/2022;BOA VISTA SHOPPING;2867;706;;;;;;
02/07/2022;BOA VISTA SHOPPING;4007;706;;;;;;
03/07/2022;BOA VISTA SHOPPING;3347;706;;;;;;
04/07/2022;BOA VISTA SHOPPING;3397;706;;;;;;
05/07/2022;BOA VISTA SHOPPING;3112;706;;;;;;
06/07/2022;BOA VISTA SHOPPING;3369;706;;;;;;
07/07/2022;BOA VISTA SHOPPING;3443;706;;;;;;
08/07/2022;BOA VISTA SHOPPING;3493;706;;;;;;
09/07/2022;BOA VISTA SHOPPING;4004;706;;;;;;
10/07/2022;BOA VISTA SHOPPING;3342;706;;;;;;
