data,Chimi & Churri,Assa Frão
1/1/2016,65.0,139.0
1/2/2016,24.0,85.0
1/3/2016,24.0,81.0
1/4/2016,23.0,32.0
1/5/2016,2.0,43.0
1/6/2016,9.0,41.0
1/7/2016,15.0,30.0
1/8/2016,79.0,16.0
1/9/2016,44.0,99.0
1/10/2016,26.0,94.0
1/11/2016,9.0,37.0
1/12/2016,6.0,20.0
1/13/2016,1.0,24.0
1/14/2016,7.0,57.0
1/15/2016,32.0,21.0
1/16/2016,49.0,86.0
1/17/2016,60.0,50.0
1/18/2016,10.0,84.0
1/19/2016,12.0,41.0
1/20/2016,24.0,47.0
1/21/2016,37.0,28.0
1/22/2016,39.0,44.0
1/23/2016,42.0,47.0
1/24/2016,59.0,50.0
1/25/2016,34.0,9.0
1/26/2016,9.0,23.0
1/27/2016,5.0,38.0
1/28/2016,16.0,37.0
1/29/2016,57.0,16.0
1/30/2016,46.0,84.0
1/31/2016,55.0,74.0
2/1/2016,25.0,13.0
2/2/2016,43.0,32.0
2/3/2016,16.0,21.0
2/4/2016,30.0,46.0
2/5/2016,56.0,11.0
2/6/2016,88.0,49.0
2/7/2016,65.0,25.0
2/8/2016,18.0,24.0
2/9/2016,28.0,64.0
2/10/2016,24.0,47.0
2/11/2016,34.0,78.0
2/12/2016,32.0,17.0
2/13/2016,75.0,87.0
2/14/2016,30.0,121.0
2/15/2016,7.0,43.0
2/16/2016,33.0,37.0
2/17/2016,25.0,44.0
2/18/2016,22.0,44.0
2/19/2016,33.0,52.0
2/20/2016,50.0,53.0
2/21/2016,21.0,85.0
2/22/2016,25.0,20.0
2/23/2016,32.0,42.0
2/24/2016,13.0,49.0
2/25/2016,37.0,49.0
2/26/2016,52.0,53.0
2/27/2016,84.0,113.0
2/28/2016,58.0,55.0
2/29/2016,53.0,22.0
3/1/2016,7.0,37.0
3/2/2016,13.0,21.0
3/3/2016,17.0,28.0
3/4/2016,56.0,24.0
3/5/2016,66.0,91.0
3/6/2016,45.0,50.0
3/7/2016,22.0,4.0
3/8/2016,64.0,52.0
3/9/2016,4.0,26.0
3/10/2016,16.0,38.0
3/11/2016,43.0,11.0
3/12/2016,76.0,96.0
3/13/2016,53.0,26.0
3/14/2016,18.0,22.0
3/15/2016,22.0,43.0
3/16/2016,16.0,36.0
3/17/2016,67.0,55.0
3/18/2016,63.0,17.0
3/19/2016,73.0,79.0
3/20/2016,50.0,84.0
3/21/2016,21.0,37.0
3/22/2016,22.0,44.0
3/23/2016,12.0,60.0
3/24/2016,23.0,72.0
3/25/2016,75.0,41.0
3/26/2016,78.0,109.0
3/27/2016,25.0,104.0
3/28/2016,35.0,44.0
3/29/2016,58.0,70.0
3/30/2016,23.0,43.0
3/31/2016,14.0,49.0
4/1/2016,36.0,19.0
4/2/2016,55.0,103.0
4/3/2016,30.0,79.0
4/4/2016,32.0,12.0
4/5/2016,,34.0
4/6/2016,2.0,40.0
4/7/2016,23.0,32.0
4/8/2016,47.0,45.0
4/9/2016,64.0,94.0
4/10/2016,53.0,30.0
4/11/2016,15.0,21.0
4/12/2016,30.0,18.0
4/13/2016,11.0,27.0
4/14/2016,7.0,23.0
4/15/2016,56.0,17.0
4/16/2016,80.0,31.0
4/17/2016,38.0,77.0
4/18/2016,3.0,27.0
4/19/2016,11.0,40.0
4/20/2016,20.0,22.0
4/21/2016,35.0,30.0
4/22/2016,28.0,48.0
4/23/2016,96.0,109.0
4/24/2016,50.0,51.0
4/25/2016,34.0,25.0
4/26/2016,33.0,34.0
4/27/2016,16.0,17.0
4/28/2016,25.0,19.0
4/29/2016,109.0,17.0
4/30/2016,33.0,88.0
5/1/2016,49.0,96.0
5/2/2016,4.0,64.0
5/3/2016,22.0,21.0
5/4/2016,38.0,29.0
5/5/2016,19.0,95.0
5/6/2016,37.0,32.0
5/7/2016,40.0,90.0
5/8/2016,48.0,115.0
5/9/2016,12.0,14.0
5/10/2016,11.0,22.0
5/11/2016,6.0,60.0
5/12/2016,6.0,36.0
5/13/2016,26.0,25.0
5/14/2016,71.0,63.0
5/15/2016,40.0,52.0
5/16/2016,17.0,18.0
5/17/2016,9.0,13.0
5/18/2016,44.0,34.0
5/19/2016,32.0,23.0
5/20/2016,44.0,20.0
5/21/2016,55.0,80.0
5/22/2016,20.0,52.0
5/23/2016,20.0,6.0
5/24/2016,18.0,24.0
5/25/2016,24.0,27.0
5/26/2016,30.0,50.0
5/27/2016,29.0,20.0
5/28/2016,77.0,48.0
5/29/2016,33.0,51.0
5/30/2016,48.0,41.0
5/31/2016,28.0,17.0
6/1/2016,23.0,23.0
6/2/2016,10.0,29.0
6/3/2016,24.0,18.0
6/4/2016,49.0,50.0
6/5/2016,41.0,52.0
6/6/2016,19.0,31.0
6/7/2016,26.0,24.0
6/8/2016,38.0,26.0
6/9/2016,21.0,25.0
6/10/2016,39.0,37.0
6/11/2016,61.0,74.0
6/12/2016,58.0,48.0
6/13/2016,16.0,9.0
6/14/2016,41.0,28.0
6/15/2016,38.0,28.0
6/16/2016,35.0,24.0
6/17/2016,70.0,24.0
6/18/2016,76.0,48.0
6/19/2016,88.0,68.0
6/20/2016,33.0,12.0
6/21/2016,53.0,8.0
6/22/2016,25.0,16.0
6/23/2016,44.0,14.0
6/24/2016,62.0,14.0
6/25/2016,74.0,53.0
6/26/2016,66.0,56.0
6/27/2016,26.0,15.0
6/28/2016,39.0,21.0
6/29/2016,30.0,16.0
6/30/2016,37.0,23.0
7/1/2016,38.0,14.0
7/2/2016,62.0,56.0
7/3/2016,52.0,35.0
7/4/2016,22.0,43.0
7/5/2016,37.0,41.0
7/6/2016,40.0,61.0
7/7/2016,30.0,13.0
7/8/2016,35.0,50.0
7/9/2016,88.0,48.0
7/10/2016,88.0,47.0
7/11/2016,17.0,23.0
7/12/2016,38.0,15.0
7/13/2016,21.0,20.0
7/14/2016,39.0,6.0
7/15/2016,47.0,15.0
7/16/2016,88.0,60.0
7/17/2016,32.0,79.0
7/18/2016,48.0,18.0
7/19/2016,23.0,12.0
7/20/2016,30.0,17.0
7/21/2016,22.0,17.0
7/22/2016,58.0,16.0
7/23/2016,50.0,40.0
7/24/2016,27.0,36.0
7/25/2016,35.0,11.0
7/26/2016,26.0,19.0
7/27/2016,23.0,14.0
7/28/2016,35.0,44.0
7/29/2016,51.0,23.0
7/30/2016,67.0,51.0
7/31/2016,30.0,42.0
8/1/2016,9.0,15.0
8/2/2016,27.0,23.0
8/3/2016,47.0,25.0
8/4/2016,26.0,19.0
8/5/2016,45.0,20.0
8/6/2016,46.0,29.0
8/7/2016,49.0,38.0
8/8/2016,26.0,9.0
8/9/2016,17.0,20.0
8/10/2016,23.0,43.0
8/11/2016,33.0,43.0
8/12/2016,36.0,39.0
8/13/2016,44.0,54.0
8/14/2016,32.0,59.0
8/15/2016,46.0,45.0
8/16/2016,22.0,19.0
8/17/2016,18.0,22.0
8/18/2016,23.0,6.0
8/19/2016,23.0,48.0
8/20/2016,55.0,37.0
8/21/2016,20.0,49.0
8/22/2016,25.0,12.0
8/23/2016,24.0,14.0
8/24/2016,23.0,37.0
8/25/2016,28.0,55.0
8/26/2016,30.0,20.0
8/27/2016,55.0,49.0
8/28/2016,35.0,54.0
8/29/2016,19.0,17.0
8/30/2016,25.0,9.0
8/31/2016,41.0,15.0
9/1/2016,10.0,16.0
9/2/2016,32.0,40.0
9/3/2016,89.0,51.0
9/4/2016,19.0,97.0
9/5/2016,61.0,45.0
9/6/2016,22.0,17.0
9/7/2016,38.0,17.0
9/8/2016,22.0,22.0
9/9/2016,39.0,12.0
9/10/2016,68.0,57.0
9/11/2016,40.0,54.0
9/12/2016,10.0,37.0
9/13/2016,25.0,11.0
9/14/2016,20.0,27.0
9/15/2016,26.0,39.0
9/16/2016,23.0,51.0
9/17/2016,,60.0
9/18/2016,52.0,57.0
9/19/2016,37.0,19.0
9/20/2016,12.0,11.0
9/21/2016,40.0,10.0
9/22/2016,49.0,35.0
9/23/2016,36.0,44.0
9/24/2016,67.0,40.0
9/25/2016,31.0,73.0
9/26/2016,8.0,9.0
9/27/2016,31.0,45.0
9/28/2016,27.0,49.0
9/29/2016,18.0,12.0
9/30/2016,48.0,27.0
10/1/2016,30.0,78.0
10/2/2016,46.0,42.0
10/3/2016,34.0,15.0
10/4/2016,32.0,42.0
10/5/2016,12.0,22.0
10/6/2016,8.0,25.0
10/7/2016,55.0,21.0
10/8/2016,82.0,46.0
10/9/2016,57.0,79.0
10/10/2016,37.0,85.0
10/11/2016,19.0,8.0
10/12/2016,9.0,35.0
10/13/2016,13.0,16.0
10/14/2016,71.0,36.0
10/15/2016,66.0,47.0
10/16/2016,37.0,56.0
10/17/2016,6.0,9.0
10/18/2016,32.0,28.0
10/19/2016,25.0,19.0
10/20/2016,20.0,19.0
10/21/2016,46.0,16.0
10/22/2016,73.0,46.0
10/23/2016,32.0,54.0
10/24/2016,30.0,20.0
10/25/2016,27.0,15.0
10/26/2016,18.0,23.0
10/27/2016,33.0,26.0
10/28/2016,38.0,28.0
10/29/2016,100.0,54.0
10/30/2016,8.0,96.0
10/31/2016,39.0,82.0
11/1/2016,33.0,23.0
11/2/2016,41.0,16.0
11/3/2016,61.0,60.0
11/4/2016,33.0,28.0
11/5/2016,66.0,33.0
11/6/2016,24.0,48.0
11/7/2016,15.0,20.0
11/8/2016,28.0,16.0
11/9/2016,27.0,14.0
11/10/2016,23.0,16.0
11/11/2016,75.0,50.0
11/12/2016,58.0,49.0
11/13/2016,29.0,50.0
11/14/2016,9.0,27.0
11/15/2016,19.0,9.0
11/16/2016,27.0,45.0
11/17/2016,35.0,32.0
11/18/2016,44.0,32.0
11/19/2016,80.0,26.0
11/20/2016,32.0,14.0
11/21/2016,23.0,9.0
11/22/2016,59.0,15.0
11/23/2016,5.0,38.0
11/24/2016,17.0,
11/25/2016,72.0,102.0
11/26/2016,69.0,55.0
11/27/2016,49.0,50.0
11/28/2016,20.0,20.0
11/29/2016,32.0,30.0
11/30/2016,8.0,26.0
12/1/2016,23.0,14.0
12/2/2016,34.0,15.0
12/3/2016,55.0,63.0
12/4/2016,54.0,49.0
12/5/2016,29.0,21.0
12/6/2016,13.0,15.0
12/7/2016,10.0,14.0
12/8/2016,33.0,24.0
12/9/2016,40.0,30.0
12/10/2016,69.0,37.0
12/11/2016,31.0,96.0
12/12/2016,16.0,19.0
12/13/2016,35.0,11.0
12/14/2016,23.0,13.0
12/15/2016,25.0,24.0
12/16/2016,50.0,27.0
12/17/2016,86.0,43.0
12/18/2016,39.0,47.0
12/19/2016,29.0,23.0
12/20/2016,11.0,24.0
12/21/2016,27.0,23.0
12/22/2016,57.0,25.0
12/23/2016,51.0,30.0
12/24/2016,64.0,94.0
12/25/2016,64.0,59.0
12/26/2016,35.0,27.0
12/27/2016,38.0,11.0
12/28/2016,31.0,24.0
12/29/2016,33.0,43.0
12/30/2016,64.0,59.0
12/31/2016,88.0,117.0
1/1/2017,48.0,118.0
1/2/2017,7.0,75.0
1/3/2017,39.0,55.0
1/4/2017,23.0,29.0
1/5/2017,14.0,11.0
1/6/2017,16.0,21.0
1/7/2017,85.0,51.0
1/8/2017,27.0,85.0
1/9/2017,40.0,30.0
1/10/2017,12.0,14.0
1/11/2017,19.0,14.0
1/12/2017,21.0,15.0
1/13/2017,30.0,9.0
1/14/2017,84.0,39.0
1/15/2017,33.0,39.0
1/16/2017,56.0,26.0
1/17/2017,38.0,19.0
1/18/2017,37.0,12.0
1/19/2017,23.0,9.0
1/20/2017,40.0,21.0
1/21/2017,63.0,37.0
1/22/2017,38.0,44.0
1/23/2017,18.0,16.0
1/24/2017,17.0,17.0
1/25/2017,35.0,20.0
1/26/2017,33.0,31.0
1/27/2017,27.0,35.0
1/28/2017,78.0,50.0
1/29/2017,63.0,47.0
1/30/2017,16.0,19.0
1/31/2017,28.0,11.0
2/1/2017,29.0,9.0
2/2/2017,26.0,12.0
2/3/2017,23.0,28.0
2/4/2017,86.0,38.0
2/5/2017,45.0,55.0
2/6/2017,14.0,24.0
2/7/2017,21.0,15.0
2/8/2017,44.0,32.0
2/9/2017,41.0,23.0
2/10/2017,55.0,24.0
2/11/2017,82.0,52.0
2/12/2017,26.0,92.0
2/13/2017,15.0,15.0
2/14/2017,39.0,117.0
2/15/2017,31.0,18.0
2/16/2017,41.0,16.0
2/17/2017,40.0,25.0
2/18/2017,103.0,50.0
2/19/2017,21.0,80.0
2/20/2017,51.0,17.0
2/21/2017,22.0,37.0
2/22/2017,38.0,29.0
2/23/2017,44.0,17.0
2/24/2017,44.0,21.0
2/25/2017,88.0,49.0
2/26/2017,42.0,23.0
2/27/2017,31.0,22.0
2/28/2017,31.0,14.0
3/1/2017,19.0,8.0
3/2/2017,40.0,3.0
3/3/2017,36.0,11.0
3/4/2017,92.0,30.0
3/5/2017,39.0,51.0
3/6/2017,10.0,23.0
3/7/2017,28.0,13.0
3/8/2017,27.0,21.0
3/9/2017,63.0,13.0
3/10/2017,38.0,32.0
3/11/2017,128.0,59.0
3/12/2017,46.0,41.0
3/13/2017,43.0,13.0
3/14/2017,21.0,29.0
3/15/2017,12.0,11.0
3/16/2017,30.0,9.0
3/17/2017,73.0,50.0
3/18/2017,71.0,44.0
3/19/2017,33.0,79.0
3/20/2017,34.0,50.0
3/21/2017,4.0,18.0
3/22/2017,33.0,23.0
3/23/2017,29.0,13.0
3/24/2017,50.0,13.0
3/25/2017,95.0,64.0
3/26/2017,33.0,38.0
3/27/2017,26.0,7.0
3/28/2017,21.0,31.0
3/29/2017,39.0,39.0
3/30/2017,36.0,29.0
3/31/2017,49.0,20.0
4/1/2017,67.0,62.0
4/2/2017,69.0,51.0
4/3/2017,24.0,14.0
4/4/2017,45.0,24.0
4/5/2017,44.0,19.0
4/6/2017,22.0,22.0
4/7/2017,55.0,25.0
4/8/2017,71.0,49.0
4/9/2017,54.0,59.0
4/10/2017,21.0,26.0
4/11/2017,23.0,15.0
4/12/2017,44.0,28.0
4/13/2017,19.0,27.0
4/14/2017,41.0,49.0
4/15/2017,69.0,59.0
4/16/2017,58.0,100.0
4/17/2017,63.0,32.0
4/18/2017,30.0,18.0
4/19/2017,20.0,18.0
4/20/2017,22.0,46.0
4/21/2017,38.0,38.0
4/22/2017,97.0,59.0
